"Row Subtotal","Row Subtotal"
"Row Total","مجموع الصف"
"SHIP TO:","شحن الى:"
"SKU","SKU"
"SOLD TO:","لبيع:"
"Sales","المبيعات"
"Sales Emails","البريد الالكتروني للبيع"
"Sales Emails Section","Sales Emails Section"
"Sales Section","Sales Section"
"Same As Billing Address","مثل عنوان الفاتورة"
"Save and Close Message","Save and Close Message"
"Save in address book","حفظ في دفتر العناوين"
"Select from existing customer addresses:","اختر من القائمة عناوين العملاء:"
"Send Credit Memo Comment Email Copy To","ارسال نسخة ملاحظة مذكرة ائتمانية للبريد الالكتروني "
"Send Credit Memo Email Copy To","ارسال بريد الكتروني الائتمان المذكره نسخة إلي"
"Send Invoice Comment Email Copy To","ارسال الفاتوره الى التعليق على نسخة البريد الالكتروني"
"Send Invoice Email Copy To","ارسال نسخة فاتورة بالبريد الالكتروني الى"
"Send Order Comment Email Copy To","من اجل ارسال نسخة منها الى البريد الالكتروني التعليق"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Send Order Email Copy To","ارسال نسخة امر بالبريد الالكتروني الى"
"Send Shipment Comment Email Copy To","ارسال شحنة التعليق على نسخة البريد الالكتروني"
"Send Shipment Email Copy To","ارسال نسخة الى شحن البريد الالكتروني"
"Send Tracking Information","إرسال بيانات التعقب"
"Ship","شحن"
"Ship to","شحن الى"
"Ship to First name","شحن الى الاسم الاول"
"Ship to Last name","شحن الى الاسم الاخير"
"Ship to Name","شحن الى الاسم"
"Shipment","شحنه"
"Shipment #","شحنه #"
"Shipment #%s","شحنه #%s"
"Shipment Comment Email Sender","التعليق شحن البريد الالكتروني للمرسل"
"Shipment Comment Email Template","التعليق قالب شحن البريد الالكتروني"
"Shipment Comment Email Template for Guest","التعليق شحن البريد الالكتروني نموذج للضيف"
"Shipment Comments","ملاحظات الشحنة"
"Shipment Email Sender","مرسل البريد الالكتروني للشحنه"
"Shipment Email Template","قالب البريد الالكتروني للشحنه"
"Shipment Email Template for Guest","قالب البريد الالكتروني للشحنه للزائر"
"Shipment Update","تحديث الشحنه"
"Shipment Update for Guest","تحديث الشحنه للزائر"
"Shipment email not sent","رسالة البريد الالكتروني للشحنه لم ترسل"
"Shipment email sent","تم ارسال البريد الالكتروني للشحنه "
"Shipments","شحنات"
"Shipped","تم الشحن"
"Shipped By","تم الشحن بواسطة"
"Shipping","تشحن"
"Shipping & Handling","الشحن و التسليم"
"Shipping & Handling:","الشحن و التسليم:"
"Shipping &amp; Handling","الشحن &amp; التسليم"
"Shipping &amp; Handling Information","الشحن &amp; معلومات التسليم"
"Shipping Address","عنوان الشحن"
"Shipping Amount","كمية الشحن"
"Shipping Information","بيانات الشحن"
"Shipping Method","طريقة الشحن"
"Shipping Method:","طريقة الشحن:"
"Shipping Refund","رد الشحن"
"Shipping and Tracking Information","Shipping and Tracking Information"
"Shopping Cart","عربة التسوق"
"Signed Up From","التوقيع من"
"Sku","Sku"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","بعض الاصناف بكميات تتجاوز الكميات المسموح. الرجاء تحديد الكميه الى اقل الخروج."
"Some of the products below don't have all the required options. Please remove them and add again with all the required options.","Some of the products below don't have all the required options. Please remove them and add again with all the required options."
"Sorry, no quotes are available for this order at this time.","عذرا ، لم يقتبس متوفره لهذا النظام في هذا الوقت."
"Source object is not specified.","Source object is not specified."
"State/Province","ولاية/مقاطعة"
"Status","الحالة"
"Store Credit","المخزن الائتماني"
"Submit Comment","إرسال تعليق"
"Submit Credit Memo","ارسال المذكرة الائتمانية"
"Submit Invoice","إرسال فاتورة"
"Submit Order","إرسال طلب الشراء"
"Submit Shipment","ارسال الشحنه"
"Subscribe to Newsletter","الاشتراك في القائمة البريدية"
"Subscribe to Order Status","من اجل الاشتراك في حالة"
"Subtotal","المجموع الاصلي"
"Subtotal after discount","Subtotal after discount"
"Subtotal:","Subtotal:"
"TAX/VAT Number","TAX/VAT Number"
"Tax","الضريبة"
"Tax :","الضريبة :"
"Tax Amount","كمية الضريبة"
"Tax Percent","Tax Percent"
"Telephone","الهاتف"
"The item %s (SKU %s) doesn't exist in the catalog anymore","العنصر %s (SKU %s) لا وجود بعد الآن في الكاتالوج"
"There are no printable documents related to selected orders","لا توجد للطباعة الوثائق ذات الصلة اوامر مختارة"
"This message will be shown in shopping cart when subtotal after discount less than minimum amount","This message will be shown in shopping cart when subtotal after discount less than minimum amount"
"This order no longer exists.","طلب الشراء هذا لم يعد موجودا."
"Tier Pricing","Tier Pricing"
"Title","العنوان"
"To","إلى"
"To Name","إلى اسم"
"To:","إلى:"
"Total %d product(s)","Total %d product(s)"
"Total Due","بسبب المجموع"
"Total Paid","مجموع المدفوعات"
"Total Qty","مجموع Qty"
"Total Refund","مجموع الرد"
"Total Refunded","مجموع الردود"
"Total Shipping Charges","Total Shipping Charges"
"Total Tax","Total Tax"
"Total(ex)","مجموع(ex)"
"Total(inc)","مجموع(inc)"
"Track Order","متابعة الامر"
"Track all shipment(s)","متابعة جميع الشحنات(s)"
"Track all shipments","متابعة جميع الشحنات"
"Track this shipment","متابعة هذه الشحنه"
"Track your order","متابعة طلبك"
"Tracking","Tracking"
"Tracking Number","رقم التعقب"
"Tracking Number(s)","ارقام المتابعة"
"Unhold","غير منتظرة"
"Unhold order","Unhold order"
"Unknown State","دول غير معروفة"
"Unknown Status","حالة غير معروفة"
"Update Changes","تحديث التغييرات"
"Update Items and Qty's","Update Items and Qty's"
"Update Qty's","تحديث Qty's"
"Validate each address separately in multi-address checkout","Validate each address separately in multi-address checkout"
"View","عرض"
"View All","عرض الكل"
"View Order","عرض طلب الشراء"
"Void","Void"
"Void invoice","Void invoice"
"Website","الموقع"
"Wishlist","قائمة الأمنيات"
"You have placed no orders.","انت لم تضع اي اوامر."
"ZIP/Post Code","الرقم البريدي"
"separate by "",""","فصل بواسطة"","""
"My Orders","مشترياتي"
